
LINER INVENTORY / PRODUCTION,,,,,
PLANT NAME,PRODUCTION DATE,QUANTITY,SIZE,CUTTINGS / SEED,NOTES
Hebe vernicosa,3/30/2026,1000,,,
Euphorbia mauritanica,3/30/2026,168,,,
Erodium reichardii 'Album',3/30/2026,400,,,
Erigeron karvinskianus,3/30/2026,570,,,
Erigeron karv. 'Spindrift' (Patented),3/30/2026,530,,,
Drosanthemum speciosum,3/30/2026,760,,,
Drosanthemum micans,3/30/2026,500,,,
Calandrinia spectabilis,3/30/2026,336,,,
Scabiosa columbaria 'Pink Mist' (Patented),3/23/2026,200,,,
Scabiosa columbaria 'Flutter™ Pure White',3/23/2026,300,,,
Scabiosa columbaria 'Flutter Deep Blue' (Patented),3/23/2026,790,,,
Prostanthera ovalifolia 'Variegata',3/23/2026,330,,,
Pelargonium sidoides,3/23/2026,168,,,
Pelargonium cordifolium,3/23/2026,80,,,
Ozothamnus diosmifolius 'Rose',3/23/2026,340,,,
Geranium x cantabrigiense 'Biokovo',3/23/2026,1000,,,
Fuchsia hatschbachii,3/23/2026,180,,,
Euphorbia 'Dean's Hybrid',3/23/2026,250,,,
Convolvulus sabatius 'Compacta',3/23/2026,780,,,
Aster chilensis 'Purple Haze',3/23/2026,200,,,
Agastache  'Kudos™ Silver Blue',3/23/2026,250,,,
Ribes sang. var. glutinosum 'Cal Flora White',3/2/2026,230,,,
Polygala myrtifolia 'Grandiflora',3/2/2026,170,,,
Coprosma 'Marble Queen',3/2/2026,400,,,
Boronia heterophylla,3/2/2026,400,,,
Woodwardia fimbriata,3/16/2026,1330,,,
Rumohra adiantiformis,3/16/2026,780,,,
Polystichum munitum,3/16/2026,1650,,,
Penstemon 'Purple Passion',3/16/2026,450,,,
Pellaea falcata,3/16/2026,800,,,
Dryopteris erythrosora,3/16/2026,500,,,
Ceanothus thyrsiflorus var. griseus,3/16/2026,400,,,
Blechnum spicant,3/16/2026,980,,,
Anisodontea 'Elegant Lady',3/16/2026,330,,,
Sisyrinchium 'Stripey',2/9/2026,1000,,,
Rosmarinus officinalis 'Blue Spires',2/9/2026,400,,,
Phygelius 'Candy Drops Red',2/9/2026,150,,,
Phlomis lanata,2/9/2026,400,,,
Oxalis oregana 'Klamath Ruby',2/9/2026,900,,,
Nepeta 'Snowflake',2/9/2026,200,,,
Euphorbia amygdaloides 'Purpurea',2/9/2026,500,,,
Euphorbia 'Ascot Petite',2/9/2026,460,,,
Convolvulus cneorum 'Snow Angel',2/9/2026,200,,,
Ceanothus 'Autumnal Blue',2/9/2026,450,,,
Campanula rotundifolia 'White Cloud',2/9/2026,290,,,
Achillea millefolium 'Apple Blossom',2/9/2026,1288,,,
Verbena lilacina 'De La Mina',2/23/2026,150,,,
Tellima menz. 'Cool Gold',2/23/2026,350,,,
Salvia chamaedryoides 'Marine Blue',2/23/2026,200,,,
Erigeron glaucus 'Compacta',2/23/2026,500,,,
Bergenia cordifolia 'Tubby Andrews',2/23/2026,280,,,
Baccharis pilularis 'San Bruno Lady',2/23/2026,350,,,
Agastache 'Vivid',2/23/2026,110,,,
Achillea 'Moonshine',2/23/2026,500,,,
Polygala myrtifolia,2/2/2026,280,,,
Cistus cobariensis 'Second Honeymoon' (Patented),2/2/2026,170,,,
Ceanothus thyrsiflorus var. repens 'Taylor's Blue',2/2/2026,400,,,
Ceanothus thyrs. var. gris. 'Louis Edmunds',2/2/2026,300,,,
Ceanothus maritimus 'Valley Violet',2/2/2026,300,,,
Ceanothus maritimus 'Popcorn',2/2/2026,170,,,
Ceanothus 'Sapphire',2/2/2026,200,,,
Ceanothus 'Italian Skies',2/2/2026,200,,,
Ceanothus 'Barbara',2/2/2026,80,,,
Ballota 'All Hallows Green',2/2/2026,200,,,
Adenanthos 'Silver Haze',2/2/2026,220,,,
Thymus 'Highland Cream',2/16/2026,500,,,
Tanacetum camphoratum,2/16/2026,450,,,
Solidago 'Tara's Select',2/16/2026,500,,,
Salvia 'La Luna',2/16/2026,670,,,
Pelargonium 'Bronze Little Leaf',2/16/2026,290,,,
Mimulus 'Lizard's Gold',2/16/2026,80,,,
Mimulus 'Changeling',2/16/2026,100,,,
Lithodora diffusa 'Grace Ward',2/16/2026,450,,,
Lithodora 'White Star' (Patented),2/16/2026,300,,,
Helianthemum 'Fire Dragon',2/16/2026,150,,,
Eschscholzia californica var. maritima,2/16/2026,780,,,
Ceanothus 'Centennial',2/16/2026,650,,,
Campanula posch. 'Blue Waterfall' (Patented),2/16/2026,1000,,,
Arabis ferdinandi-coburgi 'Old Gold',2/16/2026,450,,,
Achillea millefolium Milly Rock™  'Red',2/16/2026,560,,,
Achillea millefolium 'Rosa Maria',2/16/2026,500,,,
Thymus 'Doone Valley',1/5/2026,100,,,
Salvia muirii,1/5/2026,300,,,
Origanum 'Kent Beauty',1/5/2026,450,,,
Lithodora diffusa 'Heavenly Blue',1/5/2026,560,,,
Fragaria vesca californica 'Montana De Oro',1/5/2026,320,,,
Erodium x variabile 'Bishop's Form',1/5/2026,520,,,
Erodium reichardii 'Roseum',1/5/2026,560,,,
Echium candicans 'Star of Madeira',1/5/2026,200,,,
Cosmos 'Chocamocha',1/5/2026,320,,,
Armeria trojana,1/5/2026,390,,,
Ajuga tenorii 'Princess Nadia',1/5/2026,460,,,
Westringia fruticosa 'Mundi' (Patented),1/26/2026,700,,,
Salix purpurea 'Nana' (new),1/26/2026,200,,,
Pittosporum 'Wrinkle Blue',1/26/2026,150,,,
Nepeta x faassenii,1/26/2026,200,,,
Lomandra confertifolia 'Shorty',1/26/2026,150,,,
Lomandra 'Lime Tough',1/26/2026,290,,,
Hunnemannia fumarifolia 'Sunlite',1/26/2026,1000,,,
Grevillea fililoba,1/26/2026,200,,,
Geum 'Tempo Rose' (new),1/26/2026,500,,,
Geum 'Sunkissed Lime' (new),1/26/2026,350,,,
Ceanothus thyrs. var. gris. 'Yankee Point',1/26/2026,350,,,
Ceanothus 'Dark Star',1/26/2026,160,,,
Achillea mill. 'Pink Grapefruit' (Patented),1/26/2026,330,,,
Acanthus 'Whitewater' (Patented),1/26/2026,280,,,
Sedum spathulifolium 'Tomales Bay',1/19/2026,650,,,
Sedum hispanicum 'Purpureum',1/19/2026,550,,,
Salvia microphylla x greggii 'Brilliance',1/19/2026,250,,,
Salvia greggii 'Cherry Lips',1/19/2026,230,,,
Salvia brandegeei 'Pacific Blue',1/19/2026,300,,,
Salvia 'Angel Wings' (New),1/19/2026,450,,,
Rosmarinus officinalis 'Boule',1/19/2026,1050,,,
Phlomis lanata 'Pygmy',1/19/2026,60,,,
Penstemon 'Apple Blossom',1/19/2026,400,,,
Ozothamnus coralloides,1/19/2026,120,,,
Nepeta 'Chartreuse on the Loose',1/19/2026,450,,,
Mimulus 'Robin',1/19/2026,400,,,
Euphorbia 'Tiny Tim' (Patented),1/19/2026,350,,,
Encelia californica 'El Dorado',1/19/2026,500,,,
Asteriscus maritimus,1/19/2026,600,,,
Arbutus unedo 'Compacta',1/19/2026,700,,,
Acacia iteaphylla,1/19/2026,500,,,
Solidago velutina ssp. Californica,1/12/2026,280,,,
Sagina s. 'Lime Moss' (new),1/12/2026,480,,,
