,,,,,
,,,,,
,,,,,
ONE GALLON PRODUCTION,,,,,
PLANT NAME,PRODUCTION DATE,QUANTITY,SIZE,CUTTINGS / SEED,NOTES
Parahebe linifolia,3/2/2026,400,1 gallon,,
Polygala myrtifolia 'Mariposa',3/2/2026,300,1 gallon,,
Rosmarinus officinalis 'Tuscan Blue',3/2/2026,250,1 gallon,,
Salvia 'Angel Wings' (new),3/2/2026,430,1 gallon,,
Salvia 'Hot Lips',3/2/2026,400,1 gallon,,
Salvia microphylla x greggii 'Brilliance',3/2/2026,300,1 gallon,,
Stenotaphrum sec. 'Variegatum',3/2/2026,140,1 gallon,,
Tanacetum parthenium 'Aureum',3/2/2026,250,1 gallon,,
Westringia fruticosa 'Grey Box',3/2/2026,500,1 gallon,,
Westringia fruticosa 'WES07' Small Ball™,3/2/2026,500,1 gallon,,
Achillea 'Moonshine',3/9/2026,400,1 gallon,,
Ajuga reptans 'Catlin's Giant',3/9/2026,50,1 gallon,,
Buddleja davidii 'Monarch Princess Pink',3/9/2026,430,1 gallon,,
Carpenteria californica 'Elizabeth',3/9/2026,560,1 gallon,,
Ceanothus 'Far Horizons',3/9/2026,250,1 gallon,,
Ceanothus 'Marie Rose™',3/9/2026,200,1 gallon,,
Ceanothus thyrs. var. gris. 'Yankee Point',3/9/2026,500,1 gallon,,
Convolvulus cneorum 'Snow Angel',3/9/2026,250,1 gallon,,
Cuphea 'Strybing Sunset',3/9/2026,200,1 gallon,,
Eriogonum 'Red Ranger',3/9/2026,150,1 gallon,,
Eriophyllum lanatum 'Horseshoe Cove',3/9/2026,400,1 gallon,,
Euphorbia 'Blackbird' (Patented),3/9/2026,250,1 gallon,,
Euphorbia 'Miner's Merlot' (Patented),3/9/2026,400,1 gallon,,
Geum 'Tempo Rose' (new),3/9/2026,500,1 gallon,,
Geum hy. 'Sunkissed Lime' (new),3/9/2026,350,1 gallon,,
Helleborus argutifolius 'Pacific Frost',3/9/2026,500,1 gallon,,
Lavandula dentata 'La Diva Imperial',3/9/2026,300,1 gallon,,
Lavandula stoechas 'Anouk Supreme' (Patented),3/9/2026,280,1 gallon,,
Lavandula stoechas 'White Anouk' (Patented),3/9/2026,100,1 gallon,,
Lotus crassifolius var. otayensis,3/9/2026,200,1 gallon,,
Penstemon 'Apple Blossom',3/9/2026,300,1 gallon,,
Penstemon 'Sour Grapes',3/9/2026,300,1 gallon,,
Phlomis lanata,3/9/2026,110,1 gallon,,
Rosmarinus 'Blue Boy',3/9/2026,200,1 gallon,,
Rosmarinus officinalis 'Boule',3/9/2026,500,1 gallon,,
Salvia leucantha 'Danielle's Dream' (Patented),3/9/2026,140,1 gallon,,
Salvia leucantha 'Santa Barbara' (Patented),3/9/2026,140,1 gallon,,
Salvia microphylla 'Royal Bumble',3/9/2026,500,1 gallon,,
Scabiosa columbaria 'Pink Mist' (Patented),3/9/2026,300,1 gallon,,
Tulbaghia x 'Ashanti',3/9/2026,500,1 gallon,,
Verbena bonariensis 'Cloud 8' (PPAF),3/9/2026,330,1 gallon,,
Convolvulus sabatius 'Prime White',3/16/2026,450,1 gallon,,
Epilobium 'Calistoga',3/16/2026,360,1 gallon,,
Helianthemum 'Hartswood Ruby',3/16/2026,500,1 gallon,,
Libertia peregrinans,3/16/2026,500,1 gallon,,
Salvia spathacea,3/16/2026,800,1 gallon,,
Epilobium 'Everetts Choice',3/23/2026,360,1 gallon,,
Epilobium 'Schieffelin's Choice',3/23/2026,288,1 gallon,,
Phlomis lanata 'Pygmy',3/23/2026,60,1 gallon,,
Salvia 'Pozo Blue',3/23/2026,360,1 gallon,,
Sidalcea malvaeflora 'Palustre',3/23/2026,70,1 gallon,,
Stachys byzantina 'Helen Von Stein',3/23/2026,288,1 gallon,,
Adenanthos 'Silver Haze',3/30/2026,250,1 gallon,,
Artemisia californica 'Canyon Grey',3/30/2026,360,1 gallon,,
Boronia crenulata 'Shark Bay',3/30/2026,100,1 gallon,,
Ceanothus 'Centennial',3/30/2026,450,1 gallon,,
Epilobium 'Calistoga',3/30/2026,280,1 gallon,,
Erysimum 'Bowles Mauve',3/30/2026,250,1 gallon,,
Escallonia bifida 'Compacta',3/30/2026,150,1 gallon,,
Lupinus albifrons,3/30/2026,400,1 gallon,,
Polystichum munitum,3/30/2026,550,1 gallon,,
Romneya coulteri,3/30/2026,500,1 gallon,,
Sesleria autumnalis 'Campo Verde',3/30/2026,600,1 gallon,,
Tolmiea menziesii 'Cool Gold' (new),3/30/2026,360,1 gallon,,
Tulbaghia 'Fairy Star',3/30/2026,224,1 gallon,,
Adenanthos 'Coral Drift',4/6/2026,200,1 gallon,,
Bergenia cordifolia 'Tubby Andrews',4/6/2026,280,1 gallon,,
Campanula posch. 'Blue Waterfall' (Patented),4/6/2026,500,1 gallon,,
Caryopteris 'Gold Crest',4/6/2026,250,1 gallon,,
Cassia artemisioides,4/6/2026,700,1 gallon,,
Ceanothus thyrs. var. gris. 'Yankee Point',4/6/2026,380,1 gallon,,
Cuphea 'Blackberry Sparkler' (Patented),4/6/2026,500,1 gallon,,
Erica verticillata,4/6/2026,150,1 gallon,,
Hunnemannia fumarifolia 'Sunlite',4/6/2026,650,1 gallon,,
Leonotis menthifolia 'Savannah Sunset',4/6/2026,400,1 gallon,,
Mimulus 'Alexandra',4/6/2026,500,1 gallon,,
Mimulus 'Burst Orange' (Patented),4/6/2026,300,1 gallon,,
Olea europaea 'Skylark Dwarf',4/6/2026,150,1 gallon,,
Pelargonium 'Bronze Little Leaf',4/6/2026,260,1 gallon,,
Pelargonium 'Oldbury Duet',4/6/2026,150,1 gallon,,
Phlomis purpurea,4/6/2026,500,1 gallon,,
Rhamnus californica 'Olema',4/6/2026,80,1 gallon,,
Ribes viburnifolium,4/6/2026,250,1 gallon,,
Salvia apiana,4/6/2026,576,1 gallon,,
Salvia greggii 'California Sunset',4/6/2026,180,1 gallon,,
Salvia greggii 'Pina Colada',4/6/2026,250,1 gallon,,
Sesleria hybrid 'Campo Azul',4/6/2026,670,1 gallon,,
Sisyrinchium bellum 'Rocky Pt.',4/6/2026,500,1 gallon,,
Tanacetum camphoratum,4/6/2026,450,1 gallon,,
Acacia cognata 'Cousin Itt' (PPAF),4/13/2026,500,1 gallon,,
Achillea 'Moonshine',4/13/2026,500,1 gallon,,
Calylophus hartwegii 'Texas Gold',4/13/2026,250,1 gallon,,
Coprosma 'Evening Glow',4/13/2026,170,1 gallon,,
Cosmos atrosanguineus 'Chocolate',4/13/2026,200,1 gallon,,
Cuphea hyssopifolia 'Alba',4/13/2026,500,1 gallon,,
Fabiana imbricata f. 'Violacea',4/13/2026,200,1 gallon,,
Mimulus 'Changeling',4/13/2026,80,1 gallon,,
Penstemon 'Cathedral Pink',4/13/2026,250,1 gallon,,
Phormium 'Black Adder',4/13/2026,250,1 gallon,,
Pittosporum crassifolium 'Compacta',4/13/2026,300,1 gallon,,
Prunus lyonii,4/13/2026,300,1 gallon,,
Salvia spathacea,4/13/2026,460,1 gallon,,
Scabiosa columbaria 'Flutter Deep Blue' (Patented),4/13/2026,750,1 gallon,,
Scabiosa columbaria 'Flutter™ Pure White',4/13/2026,300,1 gallon,,
Stipa ichu,4/13/2026,200,1 gallon,,
Achillea millefolium 'Alba',4/20/2026,280,1 gallon,,
Achillea millefolium 'Rosa Maria',4/20/2026,500,1 gallon,,
Achillea millefolium 'Sonoma Coast',4/20/2026,300,1 gallon,,
Agastache  'Kudos™ Silver Blue',4/20/2026,150,1 gallon,,
Anemone 'Dawn Breaker',4/20/2026,432,1 gallon,,
Anemone 'Red Riding Hood' (new),4/20/2026,432,1 gallon,,
Fuchsia hatschbachi,4/20/2026,180,1 gallon,,
Leucadendron 'Pisa',4/20/2026,500,1 gallon,,
Leucospermum 'Hawaiian Gold' (new),4/20/2026,300,1 gallon,,
Leucospermum 'High Gold' (Patented),4/20/2026,250,1 gallon,,
Lewisia cotyledon 'Sunset Strain',4/20/2026,570,1 gallon,,
Mimulus 'Burst Berry' (Patented),4/20/2026,200,1 gallon,,
Salvia 'La Luna',4/20/2026,500,1 gallon,,
Salvia greggii 'Smokin' Lavender',4/20/2026,450,1 gallon,,
Salvia muirii,4/20/2026,280,1 gallon,,
Scleranthus biflorus,4/20/2026,500,1 gallon,,
Trichostema lanatum x purpusii,4/20/2026,500,1 gallon,,
Achillea millefolium 'Sonoma Coast',4/27/2026,300,1 gallon,,
Alyogyne 'Ruth Bancroft',4/27/2026,150,1 gallon,,
Bergenia ciliata 'Dumbo',4/27/2026,350,1 gallon,,
Ceanothus hearstiorum,4/27/2026,288,1 gallon,,
Coprosma 'Marble Queen',4/27/2026,300,1 gallon,,
Epilobium 'Marin Pink',4/27/2026,288,1 gallon,,
Fremontodendron 'California Glory',4/27/2026,250,1 gallon,,
Fremontodendron 'Pacific Sunset',4/27/2026,250,1 gallon,,
Hesperozygis x satureja 'Sunrise Mojito' (PPAF),4/27/2026,300,1 gallon,,
Lavandula angustifolia 'Betty Blue',4/27/2026,570,1 gallon,,
Mimulus 'Ivory White',4/27/2026,250,1 gallon,,
Penstemon 'Firebird',4/27/2026,288,1 gallon,,
Polygala myrtifolia 'Mariposa',4/27/2026,400,1 gallon,,
Ribes sang. var. glutinosum 'Cal Flora White',4/27/2026,200,1 gallon,,
Rhamnus 'Mound San Bruno',4/27/2026,570,1 gallon,,
Rosmarinus officinalis 'Blue Spires',4/27/2026,450,1 gallon,,
Salvia clevelandii 'Winnifred Gilman',4/27/2026,350,1 gallon,,
Salvia coahuilensis,4/27/2026,250,1 gallon,,
Stachys byzantina 'Helen Von Stein',4/27/2026,288,1 gallon,,
Westringia fruticosa 'Mundi' (Patented),4/27/2026,500,1 gallon,,
Acacia iteaphylla,5/4/2026,560,1 gallon,,
Anisodontea 'Elegant Lady',5/4/2026,350,1 gallon,,
Carex divulsa 'Westfield',5/4/2026,800,1 gallon,,
Ceanothus thyrsiflorus var. repens 'Taylor's Blue',5/4/2026,350,1 gallon,,
Eriogonum grande var. rubescens,5/4/2026,700,1 gallon,,
Festuca glauca 'Elijah Blue',5/4/2026,300,1 gallon,,
Lithodora diffusa 'Grace Ward',5/4/2026,200,1 gallon,,
Polygala myrtifolia 'Mariposa',5/4/2026,400,1 gallon,,
Woodwardia fimbriata,5/4/2026,650,1 gallon,,
Calamagrostis foliosa,5/11/2026,300,1 gallon,,
Calylophus drummondii,5/11/2026,144,1 gallon,,
Euphorbia 'Ascot Petite',5/11/2026,500,1 gallon,,
Festuca 'Siskiyou Blue',5/11/2026,300,1 gallon,,
Lavandula angustifolia 'Annet',5/11/2026,500,1 gallon,,
Lavandula stoechas 'Primavera' (Patented),5/11/2026,360,1 gallon,,
Lepechinia fragrans 'El Tigre',5/11/2026,288,1 gallon,,
Penstemon heterophyllus 'Catherine de la Mare',5/11/2026,216,1 gallon,,
Salvia brandegeei 'Pacific Blue',5/11/2026,250,1 gallon,,
Salvia sonomensis,5/11/2026,100,1 gallon,,
Stachys byzantina 'Helen Von Stein',5/11/2026,288,1 gallon,,
Romneya coulteri,5/11/2026,330,1 gallon,,
Verbena lilacina 'De La Mina',5/11/2026,288,1 gallon,,
Agastache 'Blue Fortune',5/18/2026,250,1 gallon,,
Baccharis pilularis 'San Bruno Lady',5/18/2026,330,1 gallon,,
Bocconia frutescens,5/18/2026,150,1 gallon,,
Cistus x bornetianus 'Jester',5/18/2026,250,1 gallon,,
Encelia farinosa,5/18/2026,320,1 gallon,,
Euphorbia 'Dean's Hybrid',5/18/2026,400,1 gallon,,
Euphorbia amygdaloides 'Purpurea',5/18/2026,500,1 gallon,,
Lavandula 'Jennifer',5/25/2026,500,1 gallon,,
Lavandula stoechas 'Primavera',5/25/2026,550,1 gallon,,
Lavandula x intermedia 'Phenomenal' (Patented),5/25/2026,180,1 gallon,,
Lavandula x intermedia 'Provence',5/25/2026,670,1 gallon,,
Leucadendron 'Crown Jubilee',5/25/2026,380,1 gallon,,
Leucadendron galpinii,5/25/2026,190,1 gallon,,
Penstemon 'Osprey',5/25/2026,350,1 gallon,,
Romneya coulteri,5/25/2026,780,1 gallon,,
Scabiosa columbaria 'Pink Mist' (Patented),5/25/2026,200,1 gallon,,
Scutellaria 'Smokey Hills' (new),5/25/2026,150,1 gallon,,
Silene uniflora 'Druett's Variegated',5/25/2026,450,1 gallon,,
Teucrium chamaedrys 'Summer Sunshine',5/25/2026,500,1 gallon,,
Anemanthele lessoniana,6/1/2026,160,1 gallon,,
Anemone 'Dawn Breaker',6/1/2026,432,1 gallon,,
Anemone x hybrida 'September Charm',6/1/2026,432,1 gallon,,
Boronia heterophylla,6/1/2026,400,1 gallon,,
Calocedrus decurrens,6/1/2026,100,1 gallon,,
Campanula poscharskyana 'Alba',6/1/2026,500,1 gallon,,
Ceanothus thyrsiflorus var. griseus,6/1/2026,400,1 gallon,,
Convolvulus cneorum 'Snow Angel',6/1/2026,160,1 gallon,,
Erigeron glaucus 'White Lights',6/1/2026,200,1 gallon,,
Euphorbia rigida,6/1/2026,340,1 gallon,,
Festuca rubra 'Patrick's Point',6/1/2026,500,1 gallon,,
Fragaria vesca californica 'Montana De Oro',6/1/2026,500,1 gallon,,
Fuchsia magellanica 'Versicolor',6/1/2026,450,1 gallon,,
Geranium 'Rozanne' (Patented),6/1/2026,500,1 gallon,,
Mimulus 'Lizard Gold',6/1/2026,250,1 gallon,,
Mimulus 'Robin',6/1/2026,150,1 gallon,,
Muhlenbergia dubia,6/1/2026,300,1 gallon,,
Pelargonium 'Oldbury Duet',6/1/2026,450,1 gallon,,
Pelargonium sidoides,6/1/2026,150,1 gallon,,
Phygelius CandyDrops 'Red',6/1/2026,150,1 gallon,,
Salvia greggii 'Rose Bicolor',6/1/2026,100,1 gallon,,
Sphaeralcea 'Newleaze Coral',6/1/2026,150,1 gallon,,
Tagetes lemmonii 'Compacta',6/1/2026,500,1 gallon,,
Thymus serpyllum 'Elfin',6/1/2026,250,1 gallon,,
Verbena bonariensis 'Lollipop',6/1/2026,400,1 gallon,,
Acacia podalyriifolia,6/8/2026,380,1 gallon,,
Agastache 'Vivid',6/8/2026,160,1 gallon,,
Artemisia pycnocephala 'David's Choice',6/8/2026,216,1 gallon,,
Blechnum spicant,6/8/2026,450,1 gallon,,
Calycanthus occidentalis,6/8/2026,200,1 gallon,,
Ceanothus gloriosus,6/8/2026,360,1 gallon,,
Chondropetalum 'Little Tower',6/8/2026,350,1 gallon,,
Dorycnium hirsutum,6/8/2026,500,1 gallon,,
Galvezia speciosa 'Firecracker',6/8/2026,200,1 gallon,,
Lavandula stoechas 'Primavera',6/8/2026,360,1 gallon,,
Lavandula x allardii 'Sweet Petite',6/8/2026,420,1 gallon,,
Lyonothamnus floribundus ssp. asplenifolius,6/8/2026,300,1 gallon,,
Machaerina rubignosa 'Variegata',6/8/2026,250,1 gallon,,
Oxalis oregana 'Klamath Ruby',6/8/2026,560,1 gallon,,
Penstemon 'Red Trumpet',6/8/2026,200,1 gallon,,
Pittosporum 'Wrinkle Blue',6/8/2026,300,1 gallon,,
Salvia 'Dara's Choice',6/8/2026,360,1 gallon,,
Solidago velutina ssp. californica,6/8/2026,360,1 gallon,,
Sphaeralcea 'Dark Pink',6/8/2026,400,1 gallon,,
Sphaeralcea 'Newleaze Coral',6/8/2026,350,1 gallon,,
Verbena lilacina 'De La Mina',6/8/2026,360,1 gallon,,
